rank,tier,provider_name,city,state,phone,website,contact_email,source,owner_name,owner_source,founded_or_npi_date,personal_detail,pain_hypothesis,angle,status
26,1,HERE Home Care,Iowa City,IA,,https://herehomecare.com,info@herehomecare.com,Iowa Healthcare Association directory,,,,,,,
27,1,Ames Home Care,Ames,IA,,https://www.ameshomecare.com,office@ameshomecare.com,Iowa Healthcare Association directory,,,,,,,
28,1,Life & Health Care,Webster City,IA,,https://lifeandhealthcare.com,info@lifeandhealthcare.com,Agency website contact page,,,,,,,
29,1,HomeCare Advocacy Network (HCAN) - Southwest Iowa,Council Bluffs,IA,,https://hcan.com/southwestiowa,partner@hcanthrive.com,Agency website contact page,,,,,,,
30,1,Calvin Community Home Care Services,Des Moines,IA,,https://www.calvincommunity.org,info@calvincommunity.org,Agency website contact page,,,,,,,
31,1,Home Instead Senior Care - Waterloo,Waterloo,IA,,https://www.homeinstead.com/home-care/usa/ia/waterloo/662,homeinstead662@homeinstead.com,Iowa Healthcare Association directory,,,,,,,
32,1,EveryStep Home Care,Des Moines,IA,,https://www.everystep.org,quality@everystep.org,"Agency website (non-profit, Medicare/Medicaid certified)",,,,,,,
33,2,Hillcrest Home Care,Bellevue,NE,(402) 682-4808,,,CMS (Proprietary),,,,,,,
34,2,Mary Greeley Home Health Services,Ames,IA,(515) 239-6730,,,CMS (Proprietary),,,,,,,
35,2,Heartland Home Health Llc,Belle Fourche,SD,(605) 723-4663,,,CMS (Proprietary),,,,,,,
36,2,Home Health & Hospice Of Dickinson County,Abilene,KS,(785) 263-6630,,,CMS (Proprietary),,,,,,,
37,2,"Alpine Home Health Agency, Inc",Ballwin,MO,(636) 527-4509,,,CMS (Proprietary),,,,,,,
38,2,"Tru Healthcare, Inc",Arden Hills,MN,(612) 767-6272,,,CMS (Proprietary),,,,,,,
39,2,Chadron Community Hospital And Health Services,Chadron,NE,(308) 432-5521,,,CMS (Proprietary),,,,,,,
40,2,Freedom Home Health Care Inc,Ankeny,IA,(515) 207-1501,,,CMS (Proprietary),,,,,,,
41,2,"West Winds Health Services, Inc",Faith,SD,(605) 967-2000,,,CMS (Proprietary),,,,,,,
42,2,Amberwell Health At Home,Atchison,KS,(913) 360-5520,,,CMS (Proprietary),,,,,,,
43,2,"Patient Care Professionals, Inc",Ballwin,MO,(636) 227-0722,,,CMS (Proprietary),,,,,,,
44,2,Good Neighbor Hhc Of Brainerd,Baxter,MN,(218) 829-9238,,,CMS (Proprietary),,,,,,,
45,2,Home Health Of Columbus Community Hospital,Columbus,NE,(402) 562-3300,,,CMS (Proprietary),,,,,,,
46,2,Home Sweet Home Care,Atlantic,IA,(712) 243-5343,,,CMS (Proprietary),,,,,,,
47,2,Huron Regional Medical Ctr Hha,Huron,SD,(605) 353-6520,,,CMS (Proprietary),,,,,,,
48,2,Home Town Health Care,Burlington,KS,(620) 263-7859,,,CMS (Proprietary),,,,,,,
49,2,"Novus Lifecare, Llc",Blue Springs,MO,(816) 945-9596,,,CMS (Proprietary),,,,,,,
50,2,Sanford Bemidji Home Care And Hospice,Bemidji,MN,(218) 333-5665,,,CMS (Proprietary),,,,,,,
51,2,Nye Home Health Care,Fremont,NE,(402) 753-1401,,,CMS (Proprietary),,,,,,,
52,2,New Choices Inc,Bettendorf,IA,(563) 355-5502,,,CMS (Proprietary),,,,,,,
53,2,Dakota Physical Therapy Home Health Care,Mitchell,SD,(605) 996-4778,,,CMS (Proprietary),,,,,,,
54,2,Angels Care Home Health,Chanute,KS,(620) 432-0025,,,CMS (Proprietary),,,,,,,
55,2,Citizens Memorial Home Health,Bolivar,MO,(417) 326-3585,,,CMS (Proprietary),,,,,,,
56,2,Senior Home Health Care Llc,Bloomington,MN,(952) 855-7786,,,CMS (Proprietary),,,,,,,
57,2,Brookestone Home Health & Hospice,Gering,NE,(308) 630-1430,,,CMS (Proprietary),,,,,,,
58,2,Advanced Home Health Care Inc,Burlington,IA,(319) 753-6270,,,CMS (Proprietary),,,,,,,
59,2,Monument Health Home Plus Home Health,Rapid City,SD,(605) 755-7710,,,CMS (Proprietary),,,,,,,
60,2,Hospice Of The Prairie,Dodge City,KS,(620) 227-7209,,,CMS (Proprietary),,,,,,,
61,2,"Atlas Home Health And Therapy, Llc",Branson,MO,(417) 320-1237,,,CMS (Proprietary),,,,,,,
62,2,Barnabas Health Care Services,Brainerd,MN,(218) 829-0901,,,CMS (Proprietary),,,,,,,
63,2,Angels Care Progressive Home Health,Grand Island,NE,(308) 589-0170,,,CMS (Proprietary),,,,,,,
64,2,Nurse At Home,Burlington,IA,(319) 208-1353,,,CMS (Proprietary),,,,,,,
65,2,"State Home Care Services, Inc",Rapid City,SD,(605) 718-5004,,,CMS (Proprietary),,,,,,,
66,2,Pediatric Home Service,Dodge City,KS,(785) 327-3751,,,CMS (Proprietary),,,,,,,
67,2,Elara Caring,Bridgeton,MO,(800) 381-5931,,,CMS (Proprietary),,,,,,,
68,2,Home Care By The Care Campus,Brandon,MN,(320) 524-2208,,,CMS (Proprietary),,,,,,,
69,2,Good Samaritan Society Home Health,Grand Island,NE,(308) 382-4054,,,CMS (Proprietary),,,,,,,
70,2,Carroll Area Nursing Services,Carroll,IA,(712) 792-1111,,,CMS (Proprietary),,,,,,,
71,2,Community Memorial Hospital Home Health,Redfield,SD,(605) 472-2941,,,CMS (Proprietary),,,,,,,
72,2,Home Town Health Care,Fredonia,KS,(620) 378-3760,,,CMS (Proprietary),,,,,,,
73,2,Rims Health Care Inc,Bridgeton,MO,(314) 298-7002,,,CMS (Proprietary),,,,,,,
74,2,Centerwell Home Health,Brooklyn Park,MN,(763) 416-0289,,,CMS (Proprietary),,,,,,,
75,2,Pediatric Home Service,Grand Island,NE,(308) 382-1884,,,CMS (Proprietary),,,,,,,
76,2,St Anthony Regional Hospital And Nursing Home,Carroll,IA,(712) 794-5279,,,CMS (Proprietary),,,,,,,
77,2,Aveanna Home Health,Sioux Falls,SD,(605) 335-3373,,,CMS (Proprietary),,,,,,,
78,2,Elara Caring,Garden City,KS,(620) 322-9500,,,CMS (Proprietary),,,,,,,
79,2,Yam Home Health Llc,Bridgeton,MO,(314) 627-2444,,,CMS (Proprietary),,,,,,,
80,2,Hennepin Home Health Care Inc,Brooklyn Park,MN,(763) 425-5959,,,CMS (Proprietary),,,,,,,
81,2,Evangelical Lutheran Gss Home Care Of Central Nebraska,Kearney,NE,(308) 698-5080,,,CMS (Proprietary),,,,,,,
82,2,Aveanna Healthcare,Cedar Rapids,IA,(319) 373-6294,,,CMS (Proprietary),,,,,,,
83,2,Sanford Home Health,Sioux Falls,SD,(605) 328-5900,,,CMS (Proprietary),,,,,,,
84,2,"Frontline At Home, Llc",Garden City,KS,(303) 952-9216,,,CMS (Proprietary),,,,,,,
85,2,"Grace Reliant Health Services, Llc",Cape Girardeau,MO,(573) 803-5009,,,CMS (Proprietary),,,,,,,
86,2,Adara Home Health Inc,Buffalo,MN,(763) 682-3005,,,CMS (Proprietary),,,,,,,
87,2,Centerwell Home Health,Lincoln,NE,(402) 434-8081,,,CMS (Proprietary),,,,,,,
88,2,Comfort Care Medicare Inc,Cedar Rapids,IA,(319) 294-3527,,,CMS (Proprietary),,,,,,,
89,2,Monument Health Home Plus Home Health,Spearfish,SD,(605) 644-4444,,,CMS (Proprietary),,,,,,,
90,2,Wildcat Pt Home Health,Garden City,KS,(620) 276-4974,,,CMS (Proprietary),,,,,,,
91,2,Delmar Gardens Home Care Inc,Chesterfield,MO,(636) 733-7330,,,CMS (Proprietary),,,,,,,
92,2,Clarkfield Home Health Agency,Clarkfield,MN,(320) 669-7229,,,CMS (Proprietary),,,,,,,
93,2,Chi Health At Home - Lincoln,Lincoln,NE,(402) 219-7043,,,CMS (Proprietary),,,,,,,
94,2,Mercy Home Care,Cedar Rapids,IA,(319) 398-6034,,,CMS (Proprietary),,,,,,,
95,2,Holton Community Hospital Hh & Hospice Agency,Holton,KS,(785) 364-9617,,,CMS (Proprietary),,,,,,,
96,2,Fv At Home By Friendship Village,Chesterfield,MO,(636) 733-0355,,,CMS (Proprietary),,,,,,,
97,2,Senior Friend Home Care,Cloquet,MN,(218) 727-1111,,,CMS (Proprietary),,,,,,,
98,2,Elite Professionals Home Care Company,Lincoln,NE,(402) 464-2422,,,CMS (Proprietary),,,,,,,
99,2,Therapy Solutions Inc,Cedar Rapids,IA,(319) 861-3322,,,CMS (Proprietary),,,,,,,
100,2,Home Town Home Health,Independence,KS,(620) 332-3215,,,CMS (Proprietary),,,,,,,
